,Unnamed: 0,title,text,rating,final_text,final_title,title_text,year
10,10,Atendimento ruim e demorado.,O atendimento piorou e muito. Quase 30 minutos esperando por um chopp que havia pedido. Precisa de mais colaboradores. Demorou tanto que desisti. Triste.,0,atendimento piorou quase minutos esperando chopp havia pedido precisa colaboradores demorou tanto desisti triste,atendimento ruim demorado,atendimento piorou quase minutos esperando chopp havia pedido precisa colaboradores demorou tanto desisti triste atendimento ruim demorado,2019
11,11,Esperava mais,"Fomos para o aniversário de uma amiga e nos arrependemos, as comidas demoravam a chegar e chegavam frias, o atendimento era bom talvez para maquiar a demora, faltaram alguns pratos que chegaram quando estávamos pra ir embora,já foi muito melhor mais de um tempo pra...Mais",0,aniversário amiga arrependemos comidas demoravam chegar chegavam frias atendimento bom talvez maquiar demora faltaram alguns pratos chegaram pra embora melhor tempo pra,esperava,aniversário amiga arrependemos comidas demoravam chegar chegavam frias atendimento bom talvez maquiar demora faltaram alguns pratos chegaram pra embora melhor tempo pra esperava,2019
12,12,A reforma deixou o restaurante,"A reforma deixou o restaurante muito bonito, entretanto o atendimento piorou muito. Tudo muito demorado, atendente demora a aparecer na mesa, esquece os pedidos, e para piorar a comida chega fria. É um restaurante que frequentava bastante, mas vou parar de ir, uma pena. Um...Mais",0,reforma deixou restaurante bonito entretanto atendimento piorou tudo demorado atendente demora aparecer mesa esquece pedidos piorar comida chega fria restaurante frequentava bastante vou parar pena,reforma deixou restaurante,reforma deixou restaurante bonito entretanto atendimento piorou tudo demorado atendente demora aparecer mesa esquece pedidos piorar comida chega fria restaurante frequentava bastante vou parar pena reforma deixou restaurante,2019
13,13,Sempre muito bom,Outback é uma refeição de excelente qualidade. Recomendo. Não tem como errar quando escolhe o Outback.,1,outback refeição excelente qualidade recomendo errar escolhe outback,sempre bom,outback refeição excelente qualidade recomendo errar escolhe outback sempre bom,2019
14,14,Gosto demais!!!,"Tudo muito bom. As vezes vejo comparando fotos, que há diferenças nos tamanhos da costela grande. Batatas uma delícia. Molho de parmesão das asinhas uma delícia. O banheiro que sempre está mais sujo que limpo. Ambiente agora está muito mais aconchegante.",1,tudo bom vezes vejo comparando fotos diferenças tamanhos costela grande batatas delícia molho parmesão asinhas delícia banheiro sempre sujo limpo ambiente agora aconchegante,gosto demais,tudo bom vezes vejo comparando fotos diferenças tamanhos costela grande batatas delícia molho parmesão asinhas delícia banheiro sempre sujo limpo ambiente agora aconchegante gosto demais,2019
15,15,Niver do Rafa,"Muito bom, só peca na quantidade pequena de garçons . Chopp gelado e costela muito saborosa essa costela nova é um sonho 👍🏿",1,bom peca quantidade pequena garçons chopp gelado costela saborosa costela nova sonho,niver rafa,bom peca quantidade pequena garçons chopp gelado costela saborosa costela nova sonho niver rafa,2019
16,16,dúvida,gostaria de saber se as reformas já acabaram?! fui em agosto e estavam em obras e quero ir novamente sem os encomodos de reformas,1,gostaria saber reformas acabaram agosto obras quero novamente encomodos reformas,dúvida,gostaria saber reformas acabaram agosto obras quero novamente encomodos reformas dúvida,2019
17,17,Pior atendimento que já tive.....,"Nunca vi em toda minha vida um restaurante tão bagunçado, sujo🤢 e um atendimento tão ruim na minha vida.
Tive q brigar varias vezes para ser atendido, ambiente extremamente sujo, do chão ao copo q me serviam estava sujo....
A mesa estava só o grude....muito...Mais",0,nunca toda vida restaurante tão bagunçado sujo🤢 atendimento tão ruim vida brigar varias vezes ser atendido ambiente extremamente sujo chão copo serviam sujo mesa grude,pior atendimento,nunca toda vida restaurante tão bagunçado sujo🤢 atendimento tão ruim vida brigar varias vezes ser atendido ambiente extremamente sujo chão copo serviam sujo mesa grude pior atendimento,2019
18,18,Delicioso,"Espaço bem agradável, com decoração simples mas de bom gosto, lembrando a Austrália, evidentemente. Fomos atendidos muito bem e os pratos estavam ótimos!",1,espaço bem agradável decoração simples bom gosto lembrando austrália evidentemente atendidos bem pratos ótimos,delicioso,espaço bem agradável decoração simples bom gosto lembrando austrália evidentemente atendidos bem pratos ótimos delicioso,2019
19,19,muito bom,"local agradável com bom atendimento e comida boa. Bebidas refil e reposição rápida. acesso fácil,  cheio mas durante a semana é mais fácil obter mesa",1,local agradável bom atendimento comida boa bebidas refil reposição rápida acesso fácil cheio durante semana fácil obter mesa,bom,local agradável bom atendimento comida boa bebidas refil reposição rápida acesso fácil cheio durante semana fácil obter mesa bom,2019
20,20,Excelente restaurante,"O Outback do Parkshoping está em excelente localização: no maior shoping do Distrito Federal. Ou seja, dependendo da programação, as pessoas tem uma infinidade de opções para passar o dia em cinemas, compras, diversões e finalizar (ou iniciar) o dia no Outback. Em relação à...Mais",1,outback parkshoping excelente localização maior shoping distrito federal dependendo programação pessoas infinidade opções passar dia cinemas compras diversões finalizar iniciar dia outback relação,excelente restaurante,outback parkshoping excelente localização maior shoping distrito federal dependendo programação pessoas infinidade opções passar dia cinemas compras diversões finalizar iniciar dia outback relação excelente restaurante,2019
21,21,comidas deliciosas.,"Tem comida para todos gostos.  Se você não gosta de pimenta, lá a comida é bem temperada e com pimenta.  Carnes de gado, de frango, tudo muito bom. O ponto da carne você escolhe.  As sobremesas também são ótimas.   Eu sou suspeita para falar, porque...Mais",1,comida todos gostos gosta pimenta comida bem temperada pimenta carnes gado frango tudo bom ponto carne escolhe sobremesas ótimas suspeita falar porque,comidas deliciosas,comida todos gostos gosta pimenta comida bem temperada pimenta carnes gado frango tudo bom ponto carne escolhe sobremesas ótimas suspeita falar porque comidas deliciosas,2019
22,22,programa familiar,"todos gostaram mt da comida e do atendimento , criancas e adultos . Ate bolo de aniversario recebemos",1,todos gostaram comida atendimento criancas adultos ate bolo aniversario recebemos,programa familiar,todos gostaram comida atendimento criancas adultos ate bolo aniversario recebemos programa familiar,2019
23,23,Decepção ,"Já fui muitas vezes ao Outback e sempre gostei muito, mas fui ontem domingo 08-09-2019 e tudo foi ruim, desde o atendimento até a comida!...o bife de costela estava cru, fiquei uns 10 minutos esperando o garçom me atender, o arroz estava ""Unidos venceremos"" etc...foi...Mais",0,muitas vezes outback sempre gostei ontem domingo 2019 tudo ruim desde atendimento comida bife costela cru fiquei uns minutos esperando garçom atender arroz unidos venceremos etc,decepção,muitas vezes outback sempre gostei ontem domingo 2019 tudo ruim desde atendimento comida bife costela cru fiquei uns minutos esperando garçom atender arroz unidos venceremos etc decepção,2019
24,24,O Melhor Chopp de Brasília,"O Chopp do Outback é excelente. No Happy Hour (17h às 20 h) tem 50% de desconto.
Em relação às comidas, considero que tem tempero muito forte, isto é um pouco ruim porque leva o sabor fica um pouco comprometido.",1,chopp outback excelente happy hour 17h desconto relação comidas considero tempero forte pouco ruim porque leva sabor fica pouco comprometido,melhor chopp brasília,chopp outback excelente happy hour 17h desconto relação comidas considero tempero forte pouco ruim porque leva sabor fica pouco comprometido melhor chopp brasília,2019
25,25,"Gostoso, porém fraco de atendimento","Sempre que vou ao Outback o atendimento é demorado, os pratos demoram muito e o gerenciamento de mesas livres não é muito inteligente. A comida é gostosa, mas eu não volto mais.",0,sempre vou outback atendimento demorado pratos demoram gerenciamento mesas livres inteligente comida gostosa volto,gostoso porém fraco atendimento,sempre vou outback atendimento demorado pratos demoram gerenciamento mesas livres inteligente comida gostosa volto gostoso porém fraco atendimento,2019
26,26,Excelente,Vale a pena ir na dose dupla de chopp!!! Ambiente ótimo e atendimento excelente. Sobremesa sensacional.,1,vale pena dose dupla chopp ambiente ótimo atendimento excelente sobremesa sensacional,excelente,vale pena dose dupla chopp ambiente ótimo atendimento excelente sobremesa sensacional excelente,2019
27,27,Não volto!,"Eu e meu marido somos clientes assíduos desde que abriu. O atendimento nunca foi excelente, sempre foi razoável, já tivemos muitas experiências ruins ao longo dos anos, e nas últimas (várias) vezes que fomos foi péssimo! Os pratos demoraram muito pra chegar, os garçons simplesmente...Mais",0,marido clientes assíduos desde abriu atendimento nunca excelente sempre razoável muitas experiências ruins longo anos últimas várias vezes péssimo pratos demoraram pra chegar garçons simplesmente,volto,marido clientes assíduos desde abriu atendimento nunca excelente sempre razoável muitas experiências ruins longo anos últimas várias vezes péssimo pratos demoraram pra chegar garçons simplesmente volto,2019
28,28,Cebola outback,"Lugar gostoso e aconchegante,tem uma cebola que é maravilhosa, pessoas simpáticas,sempre que dá vou lá .",1,lugar gostoso aconchegante cebola maravilhosa pessoas simpáticas sempre vou,cebola outback,lugar gostoso aconchegante cebola maravilhosa pessoas simpáticas sempre vou cebola outback,2019
29,29,Outback Parkshoping,"A vantagem desse restaurante é o happy hour, que o chop tem 50% de desconto e é gelado, além de alguns petiscos com bom preço, apesar de não chegarem quentinhos na mesa. Os garçons são sempre atenciosos!",1,vantagem desse restaurante happy hour chop desconto gelado além alguns petiscos bom preço apesar chegarem quentinhos mesa garçons sempre atenciosos,outback parkshoping,vantagem desse restaurante happy hour chop desconto gelado além alguns petiscos bom preço apesar chegarem quentinhos mesa garçons sempre atenciosos outback parkshoping,2019
30,30,The end Outback,"Por escolha de meu filho que queria comer neste lugar fomos ao ""Outback Steakhouse"", e que decepção. Pedimos: The Outbacker Burger, Aussie Grilled Picanha, The Porterhouse, Arroz Pilaf e Arroz Tasmânia. Além de demorar tanto que o refrigerante só esquetou porque tinha gelo, e os...Mais",0,escolha filho queria comer neste lugar outback steakhouse decepção pedimos the outbacker burger aussie grilled picanha the porterhouse arroz pilaf arroz tasmânia além demorar tanto refrigerante esquetou porque gelo,the end outback,escolha filho queria comer neste lugar outback steakhouse decepção pedimos the outbacker burger aussie grilled picanha the porterhouse arroz pilaf arroz tasmânia além demorar tanto refrigerante esquetou porque gelo the end outback,2019
31,31,Delícia!,"Paramos no Outback para almoçar. Nos sentimos confortáveis, o atendimento foi ótimo, a refeição estava saborosa e a porção era bem generosa. 
Ficamos satisfeitos!",1,paramos outback almoçar sentimos confortáveis atendimento ótimo refeição saborosa porção bem generosa ficamos satisfeitos,delícia,paramos outback almoçar sentimos confortáveis atendimento ótimo refeição saborosa porção bem generosa ficamos satisfeitos delícia,2019
32,32,Ótimo restaurante,"Outback é o meu restaurante preferido, ambiente muito agradável, comida como sempre saborosa.  Chegamos era por volta de 20h (A fila foi bem rápida não esperamos muito) O atendimento foi muito bom.",1,outback restaurante preferido ambiente agradável comida sempre saborosa chegamos volta 20h fila bem rápida esperamos atendimento bom,ótimo restaurante,outback restaurante preferido ambiente agradável comida sempre saborosa chegamos volta 20h fila bem rápida esperamos atendimento bom ótimo restaurante,2019
33,33,Nem parece outback,"Sou cliente fiel do outback, sempre vou com amigos e familiares, portanto, conheço bem a casa. Na minha última visita fiquei decepcionado com o atendimento, parecia de um restaurante comum e pra piorar minha caneca de chopp veio com marca de batom!! Quando chamei o...Mais",0,cliente fiel outback sempre vou amigos familiares portanto conheço bem casa última visita fiquei decepcionado atendimento parecia restaurante comum pra piorar caneca chopp veio marca batom chamei,parece outback,cliente fiel outback sempre vou amigos familiares portanto conheço bem casa última visita fiquei decepcionado atendimento parecia restaurante comum pra piorar caneca chopp veio marca batom chamei parece outback,2019
34,34,Carnes deliciosas,"Comida sempre gostosa. Os preços são um pouco salgados, mas a comida é sempre bem servida e gostosa. Lugar animado e descontraído. Há sempre fila de espera, o local é sempre cheio.",1,comida sempre gostosa preços pouco salgados comida sempre bem servida gostosa lugar animado descontraído sempre fila espera local sempre cheio,carnes deliciosas,comida sempre gostosa preços pouco salgados comida sempre bem servida gostosa lugar animado descontraído sempre fila espera local sempre cheio carnes deliciosas,2019
35,35,Ótimo restaurante ,Sempre que posso vou neste restaurante. Comida muito boa e atendimento muito bom. Dependendo do dia e horário que for o restaurante está lotado e com fila de espera. Recomendo este restaurante.,1,sempre posso vou neste restaurante comida boa atendimento bom dependendo dia horário restaurante lotado fila espera recomendo restaurante,ótimo restaurante,sempre posso vou neste restaurante comida boa atendimento bom dependendo dia horário restaurante lotado fila espera recomendo restaurante ótimo restaurante,2019
36,36,Não vale a pena,"Não vale a pena. O outback do shopping não é bom. O estacionamento é caro e longe. Tem SEMPRE fila de espera. O atendimento é demorado...enfim, pelo valor cobrado, não vale à pena...",0,vale pena outback shopping bom estacionamento caro longe sempre fila espera atendimento demorado enfim valor cobrado vale pena,vale pena,vale pena outback shopping bom estacionamento caro longe sempre fila espera atendimento demorado enfim valor cobrado vale pena vale pena,2019
37,37,"É o que mais gosto aqui em Brasília, mas tem vários outros mais próximos, no Plano Piloto, e muito bons também!","O atendimento é cordial, rápido e a comida muito gostosa. Sempre tem aquela entradinha boa que pedimos (Blooming onion - cebola) e o refri/chá de reposição, mas tem o happy hour com pratos exclusivos e desconto em algumas bebidas - de segundas às sextas, das...Mais",1,atendimento cordial rápido comida gostosa sempre entradinha boa pedimos blooming onion cebola refri chá reposição happy hour pratos exclusivos desconto algumas bebidas segundas sextas,gosto aqui brasília vários outros próximos plano piloto bons,atendimento cordial rápido comida gostosa sempre entradinha boa pedimos blooming onion cebola refri chá reposição happy hour pratos exclusivos desconto algumas bebidas segundas sextas gosto aqui brasília vários outros próximos plano piloto bons,2019
38,38,Muito bom!,"O atendimento foi excelente, os funcionários são muito atenciosos. A comida como sempre estava uma delícia!!",1,atendimento excelente funcionários atenciosos comida sempre delícia,bom,atendimento excelente funcionários atenciosos comida sempre delícia bom,2019
39,39,Já foi bom ,"Atendimento ruim, sem atenção , esquecendo os pedidos  , ribs carregadas no cominho. Não retornaremos .",0,atendimento ruim atenção esquecendo pedidos ribs carregadas cominho retornaremos,bom,atendimento ruim atenção esquecendo pedidos ribs carregadas cominho retornaremos bom,2019
40,40,Para reunir os amigos,"A última visita ocorreu para comemorar o aniversário de um sobrinho... o atendimento é sempre muito bom, atencioso e de qualidade... pelo fato de ser uma segunda-feira, conseguimos juntar uma grande mesa... mas se for mais pro ""fim da semana"" dificilmente não enfrentará uma espera...Mais",1,última visita ocorreu comemorar aniversário sobrinho atendimento sempre bom atencioso qualidade fato ser segunda feira conseguimos juntar grande mesa pro fim semana dificilmente enfrentará espera,reunir amigos,última visita ocorreu comemorar aniversário sobrinho atendimento sempre bom atencioso qualidade fato ser segunda feira conseguimos juntar grande mesa pro fim semana dificilmente enfrentará espera reunir amigos,2019
41,41,Almoço Tão Agradável ,"PONTOS POSITIVOS: Estão gerando cupons ultimamente que sempre nos faz ir la. É maravilhoso!!!!! Rsrs 
Na última vez fomos no almoço, fomos atendidos pela rapidamente. Andeara (excelente atendimento, que garçonete educada, e rápida, nunca vi mais educada ali),  a salada de entrada estava tão gostosa...Mais",1,pontos positivos gerando cupons ultimamente sempre faz maravilhoso rsrs última vez almoço atendidos rapidamente andeara excelente atendimento garçonete educada rápida nunca educada ali salada entrada tão gostosa,almoço tão agradável,pontos positivos gerando cupons ultimamente sempre faz maravilhoso rsrs última vez almoço atendidos rapidamente andeara excelente atendimento garçonete educada rápida nunca educada ali salada entrada tão gostosa almoço tão agradável,2019
42,42,Insulto ,"Já frequentei muitos restaurantes e nunca os escolhi pelo preço. Já frequentei restaurantes caros e nem tão bons, quanto restaurantes baratos e bons. Resumindo, não é o preço que determina a qualidade do que é servido. Viemos ao outback do Park Shopping em Brasília e...Mais",0,frequentei muitos restaurantes nunca escolhi preço frequentei restaurantes caros tão bons quanto restaurantes baratos bons resumindo preço determina qualidade servido viemos outback park shopping brasília,insulto,frequentei muitos restaurantes nunca escolhi preço frequentei restaurantes caros tão bons quanto restaurantes baratos bons resumindo preço determina qualidade servido viemos outback park shopping brasília insulto,2019
43,43,Excelente restaurante ,"Adorei minha experiência com o restaurante Outback, pessoal atencioso, excelente pratos, e adoro o chá gelado de cranberry.",1,adorei experiência restaurante outback pessoal atencioso excelente pratos adoro chá gelado cranberry,excelente restaurante,adorei experiência restaurante outback pessoal atencioso excelente pratos adoro chá gelado cranberry excelente restaurante,2019
44,44,Outback,"O pedido demorou a chegar, mas a comida estava ótima e o atendente foi gentil e atencioso. Valeu a ida ao local.",1,pedido demorou chegar comida ótima atendente gentil atencioso valeu ida local,outback,pedido demorou chegar comida ótima atendente gentil atencioso valeu ida local outback,2019
45,45,Melhor costelinha!!!,"Fizemos uma visita ao restaurante para minha sogra matar a saudade do Brasil, pois ela está vivendo em Portugal!!! Já fomos ao restaurante muitas vezes, mas até hoje foi o melhor atendimento!!!! Parabéns ao Lucas Macedo, pelo atendimento de excelência!!!",1,fizemos visita restaurante sogra matar saudade brasil pois vivendo portugal restaurante muitas vezes hoje melhor atendimento parabéns lucas macedo atendimento excelência,melhor costelinha,fizemos visita restaurante sogra matar saudade brasil pois vivendo portugal restaurante muitas vezes hoje melhor atendimento parabéns lucas macedo atendimento excelência melhor costelinha,2019
46,46,Ótimo atendimento e ambiente ,"O Outback é sempre uma boa pedida para sair com família e amigos! Estivemos no Outback do Park Shopping e fomos atendidos pelo LUCAS, ele é muito atencioso, prático e educado! Recomendo o Outback Park Shopping e o atendimento do LUCAS!",1,outback sempre boa pedida sair família amigos outback park shopping atendidos lucas atencioso prático educado recomendo outback park shopping atendimento lucas,ótimo atendimento ambiente,outback sempre boa pedida sair família amigos outback park shopping atendidos lucas atencioso prático educado recomendo outback park shopping atendimento lucas ótimo atendimento ambiente,2019
47,47,Qualidade Sempre!,Imbatível: costela com batatas fritas. Vc pode escolher e pedir qualquer molho sem custo adicional. Batatas fritas com molho Ranch ficam deliciosas!. Bom atendimento.,1,imbatível costela batatas fritas pode escolher pedir qualquer molho custo adicional batatas fritas molho ranch ficam deliciosas bom atendimento,qualidade sempre,imbatível costela batatas fritas pode escolher pedir qualquer molho custo adicional batatas fritas molho ranch ficam deliciosas bom atendimento qualidade sempre,2019
48,48,Restaurante para relaxar!,"Outback é um restaurante com estilo próprio comida com bastante tempero a costelinha é o cargo Cheff a batata é a melhor que já como,os molhos são deliciosos e a sobremesa Brawni com sorvete é uma delícia.
O Outback é referência em agradar os clientes...Mais",1,outback restaurante estilo próprio comida bastante tempero costelinha cargo cheff batata melhor molhos deliciosos sobremesa brawni sorvete delícia outback referência agradar clientes,restaurante relaxar,outback restaurante estilo próprio comida bastante tempero costelinha cargo cheff batata melhor molhos deliciosos sobremesa brawni sorvete delícia outback referência agradar clientes restaurante relaxar,2019
49,49,Boa comida e bebida,"Sempre fui bem atendida nos restaurantes outbacks, as vezes temos que aguardar por mesas, mas eles servem bebidas e petiscos mesmo na espera. Em geral só como a ribs on the barbie e um bom copo de chop. Mesmo quando vou ao restaurante querendo outro...Mais",1,sempre bem atendida restaurantes outbacks vezes aguardar mesas servem bebidas petiscos espera geral ribs the barbie bom copo chop vou restaurante querendo outro,boa comida bebida,sempre bem atendida restaurantes outbacks vezes aguardar mesas servem bebidas petiscos espera geral ribs the barbie bom copo chop vou restaurante querendo outro boa comida bebida,2019
50,50,O mais cheio de Brasília!,"Aqui você encontra o padrão Outback, mas com o porém de ser o restaurante mais cheio da rede no Distrito Federal. A comida é bem servida e temperada ao meu gosto e acho que o ideal é ir em grupo para poder diversificar o cardápio.",1,aqui encontra padrão outback porém ser restaurante cheio rede distrito federal comida bem servida temperada gosto acho ideal grupo poder diversificar cardápio,cheio brasília,aqui encontra padrão outback porém ser restaurante cheio rede distrito federal comida bem servida temperada gosto acho ideal grupo poder diversificar cardápio cheio brasília,2019
51,51,Ganancia dos Empresários do Outback - ParkShopping comprometem a qualidade e o atendimento dos clientes.,"Outback Steakhouse - Conheço e já tive a oportunidade de visitar muitos restaurantes com a bandeira ""Outback"" em várias cidades americanas, inclusive nessa última semana em Orlando-FL.   
Minha experiência e de minha família no restaurante foi de sacrifício e quase tortura, vivida no calor de...Mais",0,outback steakhouse conheço oportunidade visitar muitos restaurantes bandeira outback várias cidades americanas inclusive nessa última semana orlando experiência família restaurante sacrifício quase tortura vivida calor,ganancia empresários outback parkshopping comprometem qualidade atendimento clientes,outback steakhouse conheço oportunidade visitar muitos restaurantes bandeira outback várias cidades americanas inclusive nessa última semana orlando experiência família restaurante sacrifício quase tortura vivida calor ganancia empresários outback parkshopping comprometem qualidade atendimento clientes,2019
